Prediction Date,Actual Outcome,Predicted Outcome,Win Probability,Confidence Score,Prediction Correct
2026-04-10,Abandoned,Abandoned,0.312,Medium,True
2026-05-08,Abandoned,Abandoned,0.312,Medium,True
2025-11-28,Abandoned,Abandoned,0.2128,High,True
2026-01-05,Abandoned,Abandoned,0.1562,High,True
2026-01-30,Abandoned,Abandoned,0.2128,High,True
2025-11-28,Abandoned,Abandoned,0.253,Medium,True
2026-01-05,Abandoned,Abandoned,0.1951,Medium,True
2025-11-28,Abandoned,Abandoned,0.253,Medium,True
2026-01-05,Abandoned,Abandoned,0.1951,Medium,True
2025-11-28,Abandoned,Lost,0.424,Low,False
2025-11-28,Abandoned,Won,0.8165,High,False
2026-01-05,Abandoned,Won,0.804,High,False
2025-11-28,Abandoned,Lost,0.4392,Low,False
2026-01-05,Abandoned,Lost,0.3887,Low,False
2026-01-30,Abandoned,Lost,0.3947,Low,False
2026-02-27,Abandoned,Lost,0.3916,Low,False
2025-11-28,Abandoned,Won,0.6437,Medium,False
2026-01-05,Abandoned,Won,0.5769,Medium,False
2025-11-28,Abandoned,Abandoned,0.3047,Low,True
2025-11-28,Abandoned,Abandoned,0.2541,Medium,True
2026-01-05,Abandoned,Abandoned,0.1946,High,True
2025-11-28,Won,Abandoned,0.4188,Low,False
2026-01-05,Won,Lost,0.2685,Medium,False
2025-11-28,Abandoned,Abandoned,0.1792,High,True
2026-01-05,Abandoned,Abandoned,0.1409,High,True
2026-01-30,Abandoned,Abandoned,0.1736,High,True
2026-02-27,Abandoned,Abandoned,0.1792,High,True
2026-04-10,Abandoned,Abandoned,0.1792,High,True
2025-11-28,Abandoned,Abandoned,0.3815,Medium,True
2026-01-05,Abandoned,Abandoned,0.3,Medium,True
2026-01-30,Abandoned,Abandoned,0.3822,Medium,True
2025-11-28,Abandoned,Abandoned,0.2536,Medium,True
2026-01-05,Abandoned,Abandoned,0.2044,Medium,True
2026-01-30,Abandoned,Abandoned,0.2536,Medium,True
2026-02-27,Abandoned,Abandoned,0.2258,Medium,True
2025-11-28,Abandoned,Abandoned,0.3566,Medium,True
